Year,Crash Descriptor,Time,Time Label,Date,Day of Week,Police Report,Lighting Conditions,City,Collision Type Descriptor,County Name,Road Descriptor,Weather Conditions,Traffic Control Device,Road Surface Conditions,DOT Reference Marker Location,Pedestrian Bicyclist Action,Event Descriptor,Number of Vehicles Involved
2016,Property Damage Accident,00:34,Morning,08/31/2016,Wednesday,Y,Dark-Road Unlighted,Minneapolis,OTHER,JEFFERSON,Straight and Level,Clear,None,Dry,81I73051147,Not Applicable,Deer,1
2016,Property Damage Accident,16:25,Night,08/19/2016,Friday,Y,Daylight,Minneapolis,REAR END,JEFFERSON,Straight and Level,Clear,None,Dry,11 73051122,Not Applicable,"Other Motor Vehicle, Collision With",2
2016,Property Damage Accident,20:38,Night,08/19/2016,Friday,Y,Dark-Road Unlighted,Minneapolis,OTHER,JEFFERSON,Straight and Level,Clear,None,Dry,,Not Applicable,Deer,1
2016,Property Damage & Injury Accident,15:52,Afternoon,08-10-2016,Wednesday,Y,Daylight,Minneapolis,REAR END,JEFFERSON,Straight and Level,Clear,None,Dry,11 73051169,Not Applicable,"Other Motor Vehicle, Collision With",2
2016,Property Damage & Injury Accident,12:30,Afternoon,08-09-2016,Tuesday,Y,Daylight,Minneapolis,RIGHT ANGLE,JEFFERSON,Straight and Level,Clear,Stop Sign,Dry,,Not Applicable,"Other Motor Vehicle, Collision With",2
2016,Property Damage Accident,14:34,Afternoon,08-09-2016,Tuesday,Y,Daylight,Kansas City,OTHER,STEUBEN,Straight and Level,Clear,None,Dry,,Not Applicable,"Light Support/Utility Pole, Collision With Fixed Object",1
2016,Property Damage Accident,20:46,Night,08-07-2016,Sunday,Y,Dark-Road Unlighted,Kansas City,OTHER,STEUBEN,Straight and Level,Cloudy,No Passing Zone,Dry,,Not Applicable,Deer,1
2016,Property Damage Accident,22:36,Night,08-04-2016,Thursday,Y,Dark-Road Unlighted,Minneapolis,OTHER,JEFFERSON,Straight and Level,Clear,None,Dry,81I73051142,Not Applicable,Deer,1
2016,Property Damage Accident,18:30,Night,08-04-2016,Thursday,N,Daylight,Minneapolis,OTHER,JEFFERSON,Unknown,Clear,None,Dry,,Not Applicable,"Building/Wall, Collision With Fixed Object",1
2016,Property Damage Accident,08:08,Morning,08-02-2016,Tuesday,Y,Daylight,Minneapolis,REAR END,JEFFERSON,Straight and Level,Clear,None,Dry,178 73011100,Not Applicable,"Other Motor Vehicle, Collision With",2
2016,Property Damage Accident,05:58,Morning,07/31/2016,Sunday,Y,Dawn,Minneapolis,OTHER,JEFFERSON,Straight and Level,Clear,None,Dry,81I73051156,Not Applicable,"Guide Rail - Not At End, Collision With Fixed Object",1
2016,Property Damage Accident,21:52,Night,07/30/2016,Saturday,Y,Dark-Road Unlighted,Minneapolis,OTHER,JEFFERSON,Straight and Level,Cloudy,None,Dry,81I73051109,Not Applicable,Deer,1
2016,Property Damage Accident,10:45,Morning,07/26/2016,Tuesday,N,Unknown,Kansas City,REAR END,STEUBEN,Unknown,Unknown,Unknown,Unknown,17 64041320,Not Applicable,"Other Motor Vehicle, Collision With",2
2016,Property Damage & Injury Accident,00:13,Morning,07/24/2016,Sunday,Y,Dark-Road Lighted,Kansas City,LEFT TURN (3),STEUBEN,Straight and Level,Clear,No Passing Zone,Dry,17 64041331,Not Applicable,"Other Motor Vehicle, Collision With",2
2016,Injury Accident,21:18,Night,07/24/2016,Sunday,Y,Dark-Road Unlighted,Minneapolis,OTHER,JEFFERSON,Straight and Level,Clear,None,Dry,,Not Applicable,"Animal, Collision With",1
2016,Property Damage Accident,06:39,Morning,07/23/2016,Saturday,Y,Daylight,Minneapolis,OTHER,JEFFERSON,Straight and Grade,Clear,None,Dry,81I73051160,Not Applicable,Deer,1
2016,Injury Accident,15:10,Afternoon,07/22/2016,Friday,Y,Daylight,Minneapolis,OTHER,JEFFERSON,Straight and Level,Clear,None,Dry,177 73011022,Not Applicable,"Other*, Non-Collision",1
2016,Property Damage & Injury Accident,07:45,Morning,07/19/2016,Tuesday,Y,Daylight,Minneapolis,REAR END,JEFFERSON,Straight at Hill Crest,Clear,None,Dry,,Not Applicable,"Other Motor Vehicle, Collision With",2
2016,Property Damage Accident,00:00,Morning,07/18/2016,Monday,N,Daylight,Minneapolis,OTHER,JEFFERSON,Curve and Level,Clear,None,Dry,,Not Applicable,"Guide Rail - Not At End, Collision With Fixed Object",1
2016,Property Damage & Injury Accident,15:53,Afternoon,07-12-2016,Tuesday,Y,Daylight,Minneapolis,OTHER,JEFFERSON,Straight and Level,Cloudy,None,Dry,81I73051122,Not Applicable,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2016,Property Damage & Injury Accident,05:55,Morning,07-09-2016,Saturday,Y,Daylight,Minneapolis,OTHER,JEFFERSON,Straight and Level,Rain,None,Wet,81I73051146,Not Applicable,"Sign Post, Collision With Fixed Object",1
2016,Injury Accident,12:35,Afternoon,07-09-2016,Saturday,Y,Daylight,Minneapolis,OTHER,JEFFERSON,Straight and Level,Cloudy,None,Dry,11 73051139,Not in Roadway (Indicate),"Bicyclist, Collision With",1
2016,Property Damage Accident,12:55,Afternoon,07-04-2016,Monday,Y,Daylight,Minneapolis,Unknown,JEFFERSON,Straight and Level,Clear,None,Dry,,Not Applicable,"Other Motor Vehicle, Collision With",2
2016,Property Damage Accident,10:40,Morning,06/30/2016,Thursday,Y,Daylight,Minneapolis,OTHER,JEFFERSON,Curve and Grade,Clear,None,Dry,,Not Applicable,"Animal, Collision With",1
2016,Property Damage Accident,17:04,Night,06/29/2016,Wednesday,Y,Daylight,Minneapolis,OVERTAKING,JEFFERSON,Straight and Grade,Clear,None,Dry,,Not Applicable,"Other Motor Vehicle, Collision With",2
2016,Property Damage Accident,23:13,Night,06/24/2016,Friday,Y,Dark-Road Unlighted,Minneapolis,OTHER,JEFFERSON,Straight and Level,Clear,None,Dry,81I73051116,Not Applicable,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2016,Property Damage & Injury Accident,16:14,Night,06/19/2016,Sunday,Y,Daylight,Minneapolis,REAR END,JEFFERSON,Straight and Level,Clear,No Passing Zone,Dry,178 73011103,Not Applicable,"Other Motor Vehicle, Collision With",2
2016,Property Damage Accident,16:45,Night,06/17/2016,Friday,Y,Daylight,Minneapolis,OTHER,JEFFERSON,Curve and Level,Clear,No Passing Zone,Dry,178 73011075,Not Applicable,Deer,1
2016,Property Damage Accident,01:34,Morning,06/13/2016,Monday,Y,Dark-Road Unlighted,Minneapolis,OTHER,JEFFERSON,Straight and Level,Cloudy,None,Dry,81I73051131,Not Applicable,"Tree, Collision With Fixed Object",1
2016,Property Damage Accident,18:10,Night,06-08-2016,Wednesday,Y,Daylight,Minneapolis,OTHER,JEFFERSON,Straight and Level,Cloudy,None,Dry,,Not Applicable,Deer,1
2016,Property Damage Accident,22:05,Night,06-04-2016,Saturday,Y,Dark-Road Unlighted,Minneapolis,OTHER,JEFFERSON,Straight and Level,Cloudy,None,Dry,11 73051119,Not Applicable,Deer,1
2016,Property Damage Accident,16:30,Night,06-04-2016,Saturday,Y,Daylight,Minneapolis,OTHER,JEFFERSON,Straight and Level,Clear,None,Dry,81I73051123,Not Applicable,"Guide Rail - Not At End, Collision With Fixed Object",1
2016,Property Damage Accident,05:23,Morning,06-03-2016,Friday,Y,Daylight,Minneapolis,OTHER,JEFFERSON,Straight and Level,Clear,None,Dry,,Not Applicable,Deer,1
2016,Property Damage Accident,22:15,Night,06-01-2016,Wednesday,Y,Dark-Road Unlighted,Minneapolis,REAR END,JEFFERSON,Straight and Level,Clear,None,Dry,81I73051096,Not Applicable,"Other Motor Vehicle, Collision With",2
2016,Property Damage & Injury Accident,07:36,Morning,05/26/2016,Thursday,Y,Daylight,Minneapolis,RIGHT ANGLE,JEFFERSON,Straight and Level,Cloudy,No Passing Zone,Dry,,Not Applicable,"Other Motor Vehicle, Collision With",2
2016,Property Damage Accident,17:25,Night,05/25/2016,Wednesday,Y,Daylight,Minneapolis,REAR END,JEFFERSON,Straight and Level,Clear,None,Dry,,Not Applicable,"Other Motor Vehicle, Collision With",2
2016,Property Damage Accident,08:24,Morning,05/25/2016,Wednesday,Y,Daylight,Minneapolis,OTHER,JEFFERSON,Straight and Level,Cloudy,None,Dry,178 73011066,Not Applicable,Deer,1
2016,Property Damage Accident,13:45,Afternoon,05/23/2016,Monday,Y,Daylight,Minneapolis,SIDESWIPE,JEFFERSON,Straight and Level,Clear,None,Dry,178 73011099,Not Applicable,"Other Motor Vehicle, Collision With",2
2016,Property Damage Accident,16:23,Night,05/22/2016,Sunday,Y,Daylight,Minneapolis,OTHER,JEFFERSON,Straight and Level,Clear,None,Dry,,Not Applicable,"Building/Wall, Collision With Fixed Object",1
